MacherTypes	SelectorTypes	DetectorType	descriptorType	FrameNo	No of KP	 KP-time 	No of Desc	Desc-time	No of Match	Match-time
MAT_BF     	SEL_NN     	HARRIS   	AKAZE    	3	22	7374	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	HARRIS   	AKAZE    	4	26	7724	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	HARRIS   	AKAZE    	5	47	16924	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	HARRIS   	AKAZE    	6	18	7120	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	HARRIS   	AKAZE    	7	33	7135	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	HARRIS   	AKAZE    	8	27	7850	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	HARRIS   	AKAZE    	9	35	10518	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	HARRIS   	SIFT     	0	17	12633	[128 x 17]	13052	0	0
MAT_BF     	SEL_NN     	HARRIS   	SIFT     	1	14	7569	[128 x 14]	8288	13	16
MAT_BF     	SEL_NN     	HARRIS   	SIFT     	2	19	5711	[128 x 19]	7198	13	14
MAT_BF     	SEL_NN     	HARRIS   	SIFT     	3	22	5651	[128 x 22]	7171	15	15
MAT_BF     	SEL_NN     	HARRIS   	SIFT     	4	26	6003	[128 x 26]	7099	18	15
MAT_BF     	SEL_NN     	HARRIS   	SIFT     	5	47	14946	[128 x 47]	7169	25	20
MAT_BF     	SEL_NN     	HARRIS   	SIFT     	6	18	5485	[128 x 18]	7126	16	20
MAT_BF     	SEL_NN     	HARRIS   	SIFT     	7	33	6721	[128 x 33]	7164	16	16
MAT_BF     	SEL_NN     	HARRIS   	SIFT     	8	27	6145	[128 x 27]	7104	24	18
MAT_BF     	SEL_NN     	HARRIS   	SIFT     	9	35	8932	[128 x 35]	7130	24	19
MAT_BF     	SEL_NN     	FAST      	BRISK     	0	419	4128	[64 x 419]	41382	0	0
MAT_BF     	SEL_NN     	FAST      	BRISK     	1	427	1629	[64 x 427]	20280	268	635
MAT_BF     	SEL_NN     	FAST      	BRISK     	2	404	1513	[64 x 404]	19703	273	628
MAT_BF     	SEL_NN     	FAST      	BRISK     	3	423	1451	[64 x 423]	19764	262	627
MAT_BF     	SEL_NN     	FAST      	BRISK     	4	386	1451	[64 x 386]	19478	261	590
MAT_BF     	SEL_NN     	FAST      	BRISK     	5	414	1458	[64 x 414]	19777	255	583
MAT_BF     	SEL_NN     	FAST      	BRISK     	6	418	1475	[64 x 418]	20337	270	626
MAT_BF     	SEL_NN     	FAST      	BRISK     	7	406	1477	[64 x 406]	19838	273	608
MAT_BF     	SEL_NN     	FAST      	BRISK     	8	396	1563	[64 x 396]	19844	267	577
MAT_BF     	SEL_NN     	FAST      	BRISK     	9	401	1500	[64 x 401]	19744	266	575
MAT_BF     	SEL_NN     	FAST      	BRIEF    	0	419	8226	[32 x 419]	3721	0	0
MAT_BF     	SEL_NN     	FAST      	BRIEF    	1	427	3453	[32 x 427]	1506	289	1165
MAT_BF     	SEL_NN     	FAST      	BRIEF    	2	404	2277	[32 x 404]	1024	297	830
MAT_BF     	SEL_NN     	FAST      	BRIEF    	3	423	1799	[32 x 423]	824	289	677
MAT_BF     	SEL_NN     	FAST      	BRIEF    	4	386	1595	[32 x 386]	685	285	586
MAT_BF     	SEL_NN     	FAST      	BRIEF    	5	414	1458	[32 x 414]	657	271	533
MAT_BF     	SEL_NN     	FAST      	BRIEF    	6	418	1462	[32 x 418]	667	298	571
MAT_BF     	SEL_NN     	FAST      	BRIEF    	7	406	1523	[32 x 406]	622	291	564
MAT_BF     	SEL_NN     	FAST      	BRIEF    	8	396	1489	[32 x 396]	608	285	539
MAT_BF     	SEL_NN     	FAST      	BRIEF    	9	401	1562	[32 x 401]	616	291	531
MAT_BF     	SEL_NN     	FAST      	ORB       	0	419	4745	[32 x 419]	7415	0	0
MAT_BF     	SEL_NN     	FAST      	ORB       	1	427	4563	[32 x 427]	5258	292	1147
MAT_BF     	SEL_NN     	FAST      	ORB       	2	404	2345	[32 x 404]	3286	294	764
