MacherTypes,Sr NO,Total Time (us),KP Matches
MAT_BF     SEL_NN     AKAZE    AKAZE    ,35,44822.6,138.889
MAT_FLANN    SEL_NN     AKAZE    AKAZE    ,119,45392.3,165.667
MAT_BF     SEL_KNN    AKAZE    AKAZE    ,77,45431,165.667
MAT_FLANN    SEL_NN     AKAZE    FREAK    ,118,45729.9,165.667
MAT_BF     SEL_NN     BRISK    BRIEF    ,20,46049.4,172.222
MAT_BF     SEL_KNN    BRISK    BRIEF    ,62,46093.4,278.667
MAT_BF     SEL_NN     AKAZE    FREAK    ,34,46185.4,139
MAT_BF     SEL_KNN    AKAZE    FREAK    ,76,46698.1,165.667
MAT_FLANN    SEL_NN     BRISK    BRISK     ,103,47424.4,278.667
MAT_BF     SEL_NN     BRISK    AKAZE    ,23,48297.3,0
MAT_FLANN    SEL_KNN    SIFT     ORB       ,165,48631.4,0
MAT_BF     SEL_KNN    SIFT     AKAZE    ,83,48756.2,0
MAT_FLANN    SEL_NN     SIFT     BRIEF    ,122,49081.1,138.778
MAT_FLANN    SEL_KNN    BRISK    BRISK     ,145,49095.5,278.667
MAT_BF     SEL_NN     SIFT     AKAZE    ,41,49285.2,0
MAT_FLANN    SEL_NN     SIFT     ORB       ,123,49314.1,0
MAT_BF     SEL_KNN    SIFT     BRIEF    ,80,49337,138.778
MAT_FLANN    SEL_NN     SIFT     AKAZE    ,125,49371.1,0
MAT_FLANN    SEL_KNN    SIFT     AKAZE    ,167,49416.8,0
MAT_FLANN    SEL_KNN    SIFT     BRIEF    ,164,49419.3,138.778
MAT_BF     SEL_NN     SIFT     ORB       ,39,49946.8,0
MAT_BF     SEL_KNN    SIFT     ORB       ,81,50213.8,0
MAT_BF     SEL_KNN    BRISK    ORB       ,63,52987.5,278.667
MAT_BF     SEL_NN     BRISK    ORB       ,21,53993.5,176.444
MAT_FLANN    SEL_NN     BRISK    FREAK    ,106,55300.5,258.444
MAT_FLANN    SEL_KNN    BRISK    FREAK    ,148,55885.3,258.444
MAT_FLANN    SEL_KNN    BRISK    SIFT     ,150,56961.7,278.667
MAT_FLANN    SEL_NN     BRISK    SIFT     ,108,57811.3,278.667
MAT_BF     SEL_KNN    BRISK    SIFT     ,66,57824.1,278.667
MAT_FLANN    SEL_NN     SIFT     BRISK     ,121,59740.2,138.667
MAT_BF     SEL_KNN    SIFT     BRISK     ,79,60454.3,138.667
MAT_BF     SEL_NN     BRISK    SIFT     ,24,61312.2,170.667
MAT_BF     SEL_NN     SIFT     BRIEF    ,38,61788.1,83.6667
MAT_BF     SEL_KNN    BRISK    FREAK    ,64,62929.3,258.444
MAT_BF     SEL_KNN    BRISK    BRISK     ,61,64722.8,278.667
MAT_BF     SEL_KNN    SIFT     FREAK    ,82,64925.3,137.667
MAT_FLANN    SEL_KNN    SIFT     FREAK    ,166,65331.4,137.667
MAT_FLANN    SEL_NN     SIFT     FREAK    ,124,65656,137.667
MAT_BF     SEL_NN     SIFT     FREAK    ,40,65817,75.8889
MAT_FLANN    SEL_KNN    SIFT     BRISK     ,163,66757,138.667
MAT_BF     SEL_NN     BRISK    BRISK     ,19,67051.3,177.778
MAT_BF     SEL_NN     BRISK    FREAK    ,22,68586.1,166.111
MAT_BF     SEL_NN     SIFT     BRISK     ,37,75209.7,78
MAT_FLANN    SEL_KNN    SIFT     SIFT     ,168,87355.9,138.778
MAT_BF     SEL_KNN    SIFT     SIFT     ,84,87457.8,138.778
MAT_BF     SEL_NN     SIFT     SIFT     ,42,87576.6,92.4444
MAT_FLANN    SEL_NN     SIFT     SIFT     ,126,89805.2,138.778
